"No.","Time","Source","Destination","Protocol","Length","Port","Lenght TCP","Info"
"1","0.000000","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"2","1.018953","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"3","1.033224","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=1 Ack=537 Win=16088 Len=0 TSval=1785627358 TSecr=1654094756"
"4","2.000740","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"5","2.160673","192.168.0.3","10.0.0.104","RSL","602","50638,5000","536","CHANnel ReQuireD "
"6","2.179322","10.0.0.104","192.168.0.3","TCP","66","5000,50638","0","5000  >  50638 [ACK] Seq=1 Ack=537 Win=1002 Len=0 TSval=1115862304 TSecr=2197924"
"7","2.179345","10.0.0.104","192.168.0.3","RSL","602","5000,50638","536","CHANnel ReQuireD "
"8","2.179434","192.168.0.3","10.0.0.104","RSL","602","50638,5000","536","CHANnel ReQuireD "
"9","2.179449","192.168.0.3","10.0.0.104","TCP","66","50638,5000","0","50638  >  5000 [ACK] Seq=1073 Ack=537 Win=1002 Len=0 TSval=2197942 TSecr=1115862304"
"10","2.199470","10.0.0.104","192.168.0.3","TCP","66","5000,50638","0","5000  >  50638 [ACK] Seq=537 Ack=1073 Win=1002 Len=0 TSval=1115862324 TSecr=2197942"
"11","2.199484","10.0.0.104","192.168.0.3","RSL","602","5000,50638","536","CHANnel ReQuireD "
"12","2.199536","192.168.0.3","10.0.0.104","TCP","66","50638,5000","0","50638  >  5000 [ACK] Seq=1073 Ack=1073 Win=1002 Len=0 TSval=2197963 TSecr=1115862324"
"13","2.219642","10.0.0.104","192.168.0.3","RSL","602","5000,50638","536","CHANnel ReQuireD "
"14","2.219713","192.168.0.3","10.0.0.104","TCP","66","50638,5000","0","50638  >  5000 [ACK] Seq=1073 Ack=1609 Win=1002 Len=0 TSval=2197983 TSecr=1115862344"
"15","4.001164","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"16","4.166315","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"17","4.180210","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=1 Ack=1073 Win=16088 Len=0 TSval=1785630505 TSecr=1654097903"
"18","4.180224","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"19","4.180282","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"20","4.180298","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=537 Win=29014 Len=0 TSval=1654097917 TSecr=1785630505"
"21","4.200375","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=537 Ack=1609 Win=16084 Len=0 TSval=1785630525 TSecr=1654097917"
"22","4.200400","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","RF RESource INDication [Malformed Packet: length of contained item exceeds length of containing item]"
"23","4.200411","10.0.0.101","192.168.0.3","TCP","696","5000,35644","630","5000  >  35644 [PSH, ACK] Seq=1985 Ack=1609 Win=16088 Len=630 TSval=1785630525 TSecr=1654097917"
"24","4.200460","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=1985 Win=29004 Len=0 TSval=1654097937 TSecr=1785630525"
"25","4.200476","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=2615 Win=28995 Len=0 TSval=1654097938 TSecr=1785630525"
"26","4.220562","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"27","4.220617","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=1609 Ack=3151 Win=29004 Len=0 TSval=1654097958 TSecr=1785630545"
"28","6.001667","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"29","8.002231","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"30","8.050792","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"31","8.070796","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=3151 Ack=2145 Win=16088 Len=0 TSval=1785634395 TSecr=1654101788"
"32","8.080853","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"33","8.080917","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2145 Ack=3687 Win=29014 Len=0 TSval=1654101818 TSecr=1785634414"
"34","8.081643","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"35","8.111087","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","NOTification CoMmanD "
"36","8.111119","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=5135 Ack=2681 Win=16088 Len=1448 TSval=1785634445 TSecr=1654101819"
"37","8.111127","10.0.0.101","192.168.0.3","TCP","790","5000,35644","724","5000  >  35644 [PSH, ACK] Seq=6583 Ack=2681 Win=16088 Len=724 TSval=1785634445 TSecr=1654101819"
"38","8.111198","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2681 Ack=6583 Win=28992 Len=0 TSval=1654101848 TSecr=1785634445"
"39","8.111216","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2681 Ack=7307 Win=28981 Len=0 TSval=1654101848 TSecr=1785634445"
"40","8.121213","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"41","8.121234","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=8755 Ack=2681 Win=16088 Len=1448 TSval=1785634454 TSecr=1654101819"
"42","8.121258","10.0.0.101","192.168.0.3","IPA","1514","5000,35644","1448","MGCP (old) "
"43","8.121301","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=11651 Ack=2681 Win=16088 Len=1448 TSval=1785634454 TSecr=1654101819"
"44","8.121306","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2681 Ack=8755 Win=29004 Len=0 TSval=1654101858 TSecr=1785634454"
"45","8.121332","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access DLCX "
"46","8.121387","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2681 Ack=10203 Win=29004 Len=0 TSval=1654101858 TSecr=1785634454"
"47","8.121402","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2681 Ack=13099 Win=28980 Len=0 TSval=1654101858 TSecr=1785634454"
"48","8.121412","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=2681 Ack=14547 Win=28968 Len=0 TSval=1654101858 TSecr=1785634454"
"49","8.121670","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"50","8.131426","10.0.0.101","192.168.0.3","TCP","1116","5000,35644","1050","5000  >  35644 [PSH, ACK] Seq=14547 Ack=2681 Win=16088 Len=1050 TSval=1785634456 TSecr=1654101848"
"51","8.131451","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","NOTification CoMmanD "
"52","8.131459","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=17045 Ack=2681 Win=16088 Len=1448 TSval=1785634464 TSecr=1654101848"
"53","8.131540","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=15597 Win=29006 Len=0 TSval=1654101869 TSecr=1785634456"
"54","8.131556","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=18493 Win=28980 Len=0 TSval=1654101869 TSecr=1785634464"
"55","8.141591","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=18493 Ack=3217 Win=16088 Len=1448 TSval=1785634474 TSecr=1654101859"
"56","8.141620","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=19941 Ack=3217 Win=16088 Len=1448 TSval=1785634474 TSecr=1654101859"
"57","8.141661","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=21389 Ack=3217 Win=16088 Len=1448 TSval=1785634474 TSecr=1654101859"
"58","8.141697","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=21389 Win=28992 Len=0 TSval=1654101879 TSecr=1785634474"
"59","8.141751","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=22837 Win=28980 Len=0 TSval=1654101879 TSecr=1785634474"
"60","8.151749","10.0.0.101","192.168.0.3","RSL","1116","5000,35644","1050","RELease REQuest "
"61","8.151787","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"62","8.151798","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=25335 Ack=3217 Win=16088 Len=1448 TSval=1785634483 TSecr=1654101869"
"63","8.151833","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=26783 Ack=3217 Win=16088 Len=1448 TSval=1785634483 TSecr=1654101869"
"64","8.151854","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=23887 Win=29004 Len=0 TSval=1654101889 TSecr=1785634476"
"65","8.151870","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=26783 Win=28980 Len=0 TSval=1654101889 TSecr=1785634483"
"66","8.151893","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=28231 Win=28968 Len=0 TSval=1654101889 TSecr=1785634483"
"67","8.151914","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=28231 Ack=3217 Win=16088 Len=1448 TSval=1785634483 TSecr=1654101869"
"68","8.151937","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=29679 Ack=3217 Win=16088 Len=1448 TSval=1785634483 TSecr=1654101869"
"69","8.151998","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=31127 Ack=3217 Win=16088 Len=1448 TSval=1785634483 TSecr=1654101869"
"70","8.152009","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access DLCX INDication "
"71","8.152024","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access PDCH DEACTIVATION NACK "
"72","8.152011","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=31127 Win=28992 Len=0 TSval=1654101889 TSecr=1785634483"
"73","8.152404","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3217 Ack=35471 Win=28952 Len=0 TSval=1654101889 TSecr=1785634483"
"74","8.152688","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"75","8.172166","10.0.0.101","192.168.0.3","TCP","370","5000,35644","304","5000  >  35644 [PSH, ACK] Seq=35471 Ack=3217 Win=16088 Len=304 TSval=1785634497 TSecr=1654101889"
"76","8.172183","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"77","8.172232","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=37223 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"78","8.172277","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3753 Ack=37223 Win=28995 Len=0 TSval=1654101909 TSecr=1785634497"
"79","8.172306","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=38671 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"80","8.172318","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=40119 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"81","8.172331","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=41567 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"82","8.172378","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=43015 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"83","8.172404","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=44463 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"84","8.172412","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=45911 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"85","8.172421","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=47359 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"86","8.172379","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3753 Ack=40119 Win=29004 Len=0 TSval=1654101909 TSecr=1785634497"
"87","8.172437","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=48807 Ack=3753 Win=16088 Len=1448 TSval=1785634497 TSecr=1654101890"
"88","8.172639","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3753 Ack=50255 Win=28920 Len=0 TSval=1654101910 TSecr=1785634497"
"89","8.182527","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","ip.access HANDOover CANDidate ENQuiry "
"90","8.182543","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=51703 Ack=3753 Win=16088 Len=1448 TSval=1785634507 TSecr=1654101890"
"91","8.182581","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=53151 Ack=3753 Win=16088 Len=1448 TSval=1785634507 TSecr=1654101890"
"92","8.182609","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=54599 Ack=3753 Win=16088 Len=1448 TSval=1785634507 TSecr=1654101890"
"93","8.182614","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3753 Ack=53151 Win=28992 Len=0 TSval=1654101920 TSecr=1785634507"
"94","8.182693","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3753 Ack=56047 Win=28992 Len=0 TSval=1654101920 TSecr=1785634507"
"95","8.182714","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=56047 Ack=3753 Win=16088 Len=1448 TSval=1785634507 TSecr=1654101890"
"96","8.182726","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=57495 Ack=3753 Win=16088 Len=1448 TSval=1785634507 TSecr=1654101890"
"97","8.182794","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=58943 Ack=3753 Win=16088 Len=1448 TSval=1785634507 TSecr=1654101890"
"98","8.182810","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [PSH, ACK] Seq=60391 Ack=3753 Win=16088 Len=1448 TSval=1785634507 TSecr=1654101890"
"99","8.182819","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=61839 Ack=3753 Win=16088 Len=1448 TSval=1785634508 TSecr=1654101890"
"100","8.182829","10.0.0.101","192.168.0.3","TCP","1514","5000,35644","1448","5000  >  35644 [ACK] Seq=63287 Ack=3753 Win=16088 Len=1448 TSval=1785634508 TSecr=1654101890"
"101","8.182837","10.0.0.101","192.168.0.3","RSL","1514","5000,35644","1448","MODE MODIFY Negative ACKnowledge "
"102","8.182889","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3753 Ack=58943 Win=28968 Len=0 TSval=1654101920 TSecr=1785634507"
"103","8.182915","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=3753 Ack=61839 Win=28988 Len=0 TSval=1654101920 TSecr=1785634507"
"104","8.183312","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"105","8.192882","10.0.0.101","192.168.0.3","RSL","160","5000,35644","94","ip.access CRCX "
"106","8.234666","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=4289 Ack=66277 Win=29022 Len=0 TSval=1654101972 TSecr=1785634518"
"107","8.243201","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=66277 Ack=4289 Win=16088 Len=0 TSval=1785634570 TSecr=1654101920"
"108","8.243266","192.168.0.3","10.0.0.101","RSL","1138","35644,5000","1072","CHANnel ReQuireD "
"109","8.273412","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"110","8.273570","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=5361 Ack=66813 Win=29022 Len=0 TSval=1654102011 TSecr=1785634606"
"111","8.275699","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"112","8.293538","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=66813 Ack=5897 Win=16088 Len=0 TSval=1785634618 TSecr=1654102013"
"113","8.303618","10.0.0.101","192.168.0.3","RSL CBCH","1514","5000,35644","1448","SMS BroadCast REQuest "
"114","8.303647","10.0.0.101","192.168.0.3","SCCP (Int. ITU)","182","5000,35644","116","Unknown: 128 "
"115","8.303750","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=5897 Ack=68377 Win=28998 Len=0 TSval=1654102041 TSecr=1785634636"
"116","8.309092","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"117","8.333822","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"118","8.333947","192.168.0.3","10.0.0.101","TCP","66","35644,5000","0","35644  >  5000 [ACK] Seq=6433 Ack=68913 Win=29022 Len=0 TSval=1654102071 TSecr=1785634667"
"119","8.336138","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"120","8.364025","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"121","8.366388","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"122","8.394217","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"123","8.396508","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"124","8.424422","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"125","8.426797","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"126","8.454652","10.0.0.101","192.168.0.3","RSL","602","5000,35644","536","CHANnel ReQuireD "
"127","8.456952","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"128","8.514956","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=71057 Ack=9113 Win=16088 Len=0 TSval=1785634842 TSecr=1654102194"
"129","10.002827","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
"130","11.515878","192.168.0.3","10.0.0.101","RSL","602","35644,5000","536","CHANnel ReQuireD "
"131","11.530725","10.0.0.101","192.168.0.3","TCP","66","5000,35644","0","5000  >  35644 [ACK] Seq=71057 Ack=9649 Win=16088 Len=0 TSval=1785637855 TSecr=1654105253"
"132","12.003389","c4:01:c4:42:f1:02","Spanning-tree-(for-bridges)_00","STP","60","","","Conf. Root = 32768/0/c4:01:57:d8:00:00  Cost = 0  Port = 0x802b"
